@relation Liepzig_test

@attribute text string
@attribute @@class@@ {FR,DE,EN,IT,PT,ES}

@data
'03 noviembre 2015 15:8Última actualización 03 noviembre 2015 18:3 Standard Chartered, de Londres, anunció que despediría a 15 mil personas.',ES
'04 noviembre 2015 14:2Última actualización 05 noviembre 2015 5:0 uso recreativo de la mariguana El grupo SMART celebra que el fallo de la Corte les fue favorable.',ES
'$1.000 millones de embargo a casa de cambio por operar en el mercado ilegalLa Justicia embargó por $1.000 millones a una casa de cambio acusada de operar en el mercado ilegal de divisas.',ES
'10/08/2009 a las 23:13 - Última actualización: 10/08/2009 a las 23:13 Feriado y almuerzo por el Día del Traba..',ES
'10 trucos para mejorar la señal de tu celular La mala señal en los celulares es uno de los problemas más frecuentes entre los usuarios de estos aparatos.',ES
'133 son las presentadas en busca del cargo dejado por Óscar Velázquez.',ES
'13. De repente, en medio de la reunión, dice Farfán, recibí la llamada del general Muñoz Colodro, indicándome que la situación se había precipitado y que se produjo un enfrentamiento entre policías y marchistas y que estaban procediendo a la intervención.',ES
'14 de marzo de 2015 Día de los amigos en Colombia - Dinero.com Seguir a @revistadinero Comercio espera aumentar ventas 27% en el Día de los Amigos Los bares y restaurantes son el sector más beneficiado durante esta celebración el año anterior.',ES
'15. La producción cultural en el marco de la Ley de Servicios de Comunicación Audiovisual.',ES
'16.00 BASQUETBOL: Argentina – Brasil, cuartos de final, en North Greenwich Arena. 16.00 HOCKEY FEMENINO: Argentina – Gran Bretaña, semifinal, en Riverbank Arena.',ES
'16.698 soluciones habitacionales que se inician abarcan a más de 160 municipios de 14 provincias y el mejoramiento de 3.501 viviendas existentes.',ES
'16/ENE/2008- "Quiero dejar algo claro", dijo el wide receiver de los Patrioas de Nueva Inglaterra.',ES
'16 gatos increíblemente semejantes a los personajes de la gran pantalla (+fotos)16 gatos increíblemente semejantes a los personajes de la gran pantalla (+fotos) (Caracas, 20 de julio.',ES
'1930 - en Estados Unidos, los pilotos franceses Diudonné Costes y Maurice Bellonte aterrizan cerca de Nueva York, después de cruzar el Atlántico en un vuelo de 37 horas.',ES
'1963 - Alemania y Francia se reconcilian tras la firma por Charles de Gaulle y Konrad Adenauer del Tratado del Elíseo.',ES
'1971 - en España, el boxeador Pedro Carrasco se proclama campeón mundial en la categoría de peso ligero.',ES
'19 de agosto de 2007Marco Díaz Muñoz.',ES
